32,34,31,34,28,32,31,30,32,35,32,33,32,31,33,33,30,30,34,27,28,32,40,41,39,37,42,36,38,38
34,40,45,38,41,41,38,38,41,38,43,40,35,39,37,39,38,36,36,38,38,36,39,35,40,34,35,36,36,38
46,38,36,40,43,39,43,44,39,39,37,39,45,42,42,40,44,46,42,47,46,44,33,36,33,41,35,40,38,36
2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30
